"Isolate_Id","Subtype","Submitting_Lab","Originating_Lab"
"EPI_ISL_18109001","B/Victoria","Centers for Disease Control and Prevention","National Center for Laboratory and Epidemiology"
"EPI_ISL_17554769","B/Victoria","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_17632618","B/Victoria","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_17554770","B/Victoria","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_17785694","B/Victoria","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_18012914","B/Victoria","WHO Collaborating Centre for Reference and Research on Influenza","R.I.P.A.S. Hospital, Department of Laboratory Services"
"EPI_ISL_17597823","B/Victoria","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_17266879","B/Victoria","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_18160794","B/Victoria","WHO Collaborating Centre for Reference and Research on Influenza","Research Institute of Tropical Medicine"
"EPI_ISL_18012861","B/Victoria","WHO Collaborating Centre for Reference and Research on Influenza","R.I.P.A.S. Hospital, Department of Laboratory Services"
"EPI_ISL_17597820","B/Victoria","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_18133603","B/Victoria","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_17266884","B/Victoria","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_17981948","B/Victoria","WHO Collaborating Centre for Reference and Research on Influenza","R.I.P.A.S. Hospital, Department of Laboratory Services"
"EPI_ISL_18050325","B/Victoria","Institute for Medical Research","Hospital Sultanah Aminah"
"EPI_ISL_17266891","B/Victoria","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_17554776","B/Victoria","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_17981956","B/Victoria","WHO Collaborating Centre for Reference and Research on Influenza","R.I.P.A.S. Hospital, Department of Laboratory Services"
"EPI_ISL_17785678","B/Victoria","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_17266895","B/Victoria","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_17266864","B/Victoria","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_17554436","B/Victoria","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_17764789","B/Victoria","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","University of São Paulo"
"EPI_ISL_17993793","B/Victoria","Evandro Chagas Institute","Evandro Chagas Institute"
"EPI_ISL_18137161","B/Victoria","Instituto de Salud Publica","Instituto de Salud Publica de Chile"
"EPI_ISL_17858013","B/Victoria","Evandro Chagas Institute","Evandro Chagas Institute"
"EPI_ISL_17694193","B/Victoria","Oswaldo Cruz Foundation","UAPS CARLOS RIBEIRO"
"EPI_ISL_18037953","B/Victoria","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central de Saúde Pública (LACEN RJ)"
"EPI_ISL_16830669","B/Victoria","Centers for Disease Control and Prevention","Instituto Nacional de Laboratoriosde Salud (INLASA)"
"EPI_ISL_17681633","B/Victoria","Evandro Chagas Institute","Evandro Chagas Institute"
"EPI_ISL_17858036","B/Victoria","Evandro Chagas Institute","Evandro Chagas Institute"
"EPI_ISL_18092277","B/Victoria","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central de Saúde Pública (LACEN RJ)"
"EPI_ISL_18092254","B/Victoria","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central de Saúde Pública de Alagoas, LACEN-AL"
"EPI_ISL_17694191","B/Victoria","Oswaldo Cruz Foundation","UAPS MELO JABORANDI"
"EPI_ISL_18162422","B/Victoria","Laboratório Central de Saúde Publica do estado da Bahia","Laboratório Central de Saúde Pública Professor Gonçalo Moniz, LACEN-BA"
"EPI_ISL_18022583","B/Victoria","Centers for Disease Control and Prevention","Instituto Nacional de Salud de Columbia"
"EPI_ISL_17514634","B/Victoria","Instituto Adolfo Lutz","Instituto Adolfo Lutz - National Influenza Center"
"EPI_ISL_18092210","B/Victoria","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central de Saúde Pública de Alagoas, LACEN-AL"
"EPI_ISL_16954813","B/Victoria","Instituto Adolfo Lutz","Instituto Adolfo Lutz - National Influenza Center"
"EPI_ISL_18162423","B/Victoria","Laboratório Central de Saúde Publica do estado da Bahia","Laboratório Central de Saúde Pública Professor Gonçalo Moniz, LACEN-BA"
"EPI_ISL_17993805","B/Victoria","Evandro Chagas Institute","Evandro Chagas Institute"
"EPI_ISL_17514630","B/Victoria","Instituto Adolfo Lutz","Instituto Adolfo Lutz - National Influenza Center"
"EPI_ISL_18092296","B/Victoria","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","LACEN/ES - Laboratório Central de Saúde Pública do Espírito Santo"
"EPI_ISL_17806178","B/Victoria","Centers for Disease Control and Prevention","Instituto Adolfo Lutz"
"EPI_ISL_18092091","B/Victoria","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_18092060","B/Victoria","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_18231475","B/Victoria","National Institute of Infectious Diseases (NIID)","National Public Health Laboratory"
"EPI_ISL_18092068","B/Victoria","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_18109024","B/Victoria","Centers for Disease Control and Prevention","Ministry of Health"
"EPI_ISL_17087641","B/Victoria","National Institute of Health Pakistan","National Institute of Health"
"EPI_ISL_18092118","B/Victoria","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_18092072","B/Victoria","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_18092094","B/Victoria","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_18092071","B/Victoria","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_18092112","B/Victoria","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_18231473","B/Victoria","National Institute of Infectious Diseases (NIID)","National Public Health Laboratory"
"EPI_ISL_17659409","B/Victoria","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_18092121","B/Victoria","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_18108991","B/Victoria","Centers for Disease Control and Prevention","Ministry of Health"
"EPI_ISL_17659329","B/Victoria","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_17659372","B/Victoria","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_18092107","B/Victoria","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_17277158","B/Victoria","National Institute of Health Pakistan","National Institute of Health"
"EPI_ISL_17659356","B/Victoria","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_17659353","B/Victoria","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_17087764","B/Victoria","National Institute of Health Pakistan","National Institute of Health"
"EPI_ISL_18143232","B/Victoria","Centers for Disease Control and Prevention","Ministry of Health Bahrain"
"EPI_ISL_18167176","B/Victoria","Crick Worldwide Influenza Centre","Central Public Health Laboratory, Ministry of Health"
"EPI_ISL_18109007","B/Victoria","Centers for Disease Control and Prevention","Shaikh Khalifa Medical City"
"EPI_ISL_17981352","B/Victoria","Centers for Disease Control and Prevention","Shaikh Khalifa Medical City"
"EPI_ISL_16868860","B/Victoria","CNR Virus des Infections Respiratoires, France SUD","Center for Infectious Diseases Research"
"EPI_ISL_18109000","B/Victoria","Centers for Disease Control and Prevention","Shaikh Khalifa Medical City"
"EPI_ISL_17981395","B/Victoria","Centers for Disease Control and Prevention","Shaikh Khalifa Medical City"
"EPI_ISL_17981368","B/Victoria","Centers for Disease Control and Prevention","Shaikh Khalifa Medical City"
"EPI_ISL_17211620","B/Victoria","Crick Worldwide Influenza Centre","Centre for Diseases Control and Prevention"
"EPI_ISL_17981356","B/Victoria","Centers for Disease Control and Prevention","Ministry of Health Bahrain"
"EPI_ISL_17806184","B/Victoria","Centers for Disease Control and Prevention","Rafic Hariri University Hospital 4th floor DNA/Research Lab"
"EPI_ISL_18143240","B/Victoria","Centers for Disease Control and Prevention","Ministry of Health Bahrain"
"EPI_ISL_17211621","B/Victoria","Crick Worldwide Influenza Centre","Centre for Diseases Control and Prevention"
"EPI_ISL_17981383","B/Victoria","Centers for Disease Control and Prevention","Shaikh Khalifa Medical City"
"EPI_ISL_18143230","B/Victoria","Centers for Disease Control and Prevention","Rafic Hariri University Hospital 4th floor DNA/Research Lab"
"EPI_ISL_17981370","B/Victoria","Centers for Disease Control and Prevention","Shaikh Khalifa Medical City"
"EPI_ISL_17981364","B/Victoria","Centers for Disease Control and Prevention","Shaikh Khalifa Medical City"
"EPI_ISL_18143236","B/Victoria","Centers for Disease Control and Prevention","Rafic Hariri University Hospital 4th floor DNA/Research Lab"
"EPI_ISL_17981403","B/Victoria","Centers for Disease Control and Prevention","Shaikh Khalifa Medical City"
"EPI_ISL_17981405","B/Victoria","Centers for Disease Control and Prevention","Shaikh Khalifa Medical City"
"EPI_ISL_18108999","B/Victoria","Centers for Disease Control and Prevention","Shaikh Khalifa Medical City"
"EPI_ISL_17981397","B/Victoria","Centers for Disease Control and Prevention","Shaikh Khalifa Medical City"
"EPI_ISL_330223","B/Victoria","Centers for Disease Control and Prevention","National Influenza Reference Laboratory"
"EPI_ISL_330224","B/Victoria","Centers for Disease Control and Prevention","National Influenza Reference Laboratory"
"EPI_ISL_330538","B/Victoria","Centers for Disease Control and Prevention","National Influenza Reference Laboratory"
"EPI_ISL_330150","B/Victoria","Crick Worldwide Influenza Centre","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_350004","B/Victoria","Centers for Disease Control and Prevention","NIC Lab CVD-MALI"
"EPI_ISL_330229","B/Victoria","Centers for Disease Control and Prevention","NIC Lab CVD-MALI"
"EPI_ISL_330133","B/Victoria","Crick Worldwide Influenza Centre","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_330137","B/Victoria","Crick Worldwide Influenza Centre","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_355246","B/Victoria","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_424829","B/Victoria","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_387008","B/Victoria","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_485403","B/Victoria","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_522414","B/Victoria","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_522412","B/Victoria","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_768588","B/Victoria","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_768590","B/Victoria","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_768589","B/Victoria","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_767041","B/Victoria","Centers for Disease Control and Prevention","CDC-Kenya"
"EPI_ISL_768548","B/Victoria","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_768549","B/Victoria","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_1519510","B/Victoria","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"EPI_ISL_2448018","B/Victoria","Crick Worldwide Influenza Centre","Ministry of Health Riyadh"
"EPI_ISL_2696017","B/Victoria","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_14648792","B/Victoria","Crick Worldwide Influenza Centre","Scientific Institute of Public Health"
"EPI_ISL_18130621","B/Victoria","UK Health Security Agency - Colindale","UK Health Security Agency - Colindale"
"EPI_ISL_330534","B/Victoria","Centers for Disease Control and Prevention","National Influenza Reference Laboratory"
"EPI_ISL_350002","B/Victoria","Centers for Disease Control and Prevention","NIC Lab CVD-MALI"
"EPI_ISL_350020","B/Victoria","Centers for Disease Control and Prevention","NIC Lab CVD-MALI"
"EPI_ISL_350058","B/Victoria","Centers for Disease Control and Prevention","NIC Lab CVD-MALI"
"EPI_ISL_341143","B/Victoria","Centers for Disease Control and Prevention","Centre de Recherche Medicale et Sanitaire (CERMES)"
"EPI_ISL_350015","B/Victoria","Centers for Disease Control and Prevention","NIC Lab CVD-MALI"
"EPI_ISL_353609","B/Victoria","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_353602","B/Victoria","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_356372","B/Victoria","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_341145","B/Victoria","Centers for Disease Control and Prevention","Centre de Recherche Medicale et Sanitaire (CERMES)"
"EPI_ISL_362492","B/Victoria","Centers for Disease Control and Prevention","Centre de Recherche Medicale et Sanitaire (CERMES)"
"EPI_ISL_356352","B/Victoria","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_336860","B/Victoria","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"MT803438","B/Victoria","Chulalongkorn University, Department of Pediatrics, Center of Excellence in Clinical Virology",NA
"EPI_ISL_362489","B/Victoria","Centers for Disease Control and Prevention","Centre de Recherche Medicale et Sanitaire (CERMES)"
"EPI_ISL_338646","B/Victoria","Centers for Disease Control and Prevention","Louisiana Department of Health and Hospitals"
"EPI_ISL_354495","B/Victoria","WHO Collaborating Centre for Reference and Research on Influenza","Research Institute of Tropical Medicine"
"EPI_ISL_356363","B/Victoria","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_363147","B/Victoria","Crick Worldwide Influenza Centre","Laboratory for Virology, National Institute of Public Health"
"EPI_ISL_344844","B/Victoria","Centers for Disease Control and Prevention","State of Hawaii Department of Health"
"EPI_ISL_356353","B/Victoria","Centers for Disease Control and Prevention","IRSS"
"EPI_ISL_364635","B/Victoria","National Institute of Infectious Diseases (NIID)","Osaka Prefectural Institute of Public Health"
"EPI_ISL_344845","B/Victoria","Centers for Disease Control and Prevention","State of Hawaii Department of Health"
"EPI_ISL_366106","B/Victoria","National Institute of Infectious Diseases (NIID)","National Public Health Laboratory"
"EPI_ISL_356896","B/Victoria","SCIENSANO","Sciensano (Scientific Institute of Public Health)"
"EPI_ISL_350024","B/Victoria","Centers for Disease Control and Prevention","National Microbiology Laboratory, Public Health Agency of Canada (PHAC)"
"EPI_ISL_367180","B/Victoria","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_17718202","B/Victoria","B.C. Centre for Disease Control","Public Health Ontario"
"EPI_ISL_391635","B/Victoria","The University of Hong Kong","The University of Hong Kong"
"EPI_ISL_350865","B/Victoria","Public Health Agency of Canada (PHAC)","Provincial Laboratory of Public Health for Southern Alberta"
"EPI_ISL_367206","B/Victoria","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_377596","B/Victoria","Centers for Disease Control and Prevention","Ministry of Health Bahrain"
"EPI_ISL_380264","B/Victoria","Centers for Disease Control and Prevention","Marshfield Clinic Research Foundation"
"EPI_ISL_364619","B/Victoria","WHO Collaborating Centre for Reference and Research on Influenza","Royal Darwin Hospital"
"EPI_ISL_350937","B/Victoria","Hong Kong Department of Health","Hong Kong Department of Health"
"EPI_ISL_389241","B/Victoria","Crick Worldwide Influenza Centre","Institut Pasteur de Dakar"
"MK911773","B/Victoria","United States Air Force, USAFSAM/PHE",NA
"EPI_ISL_17718205","B/Victoria","B.C. Centre for Disease Control","Public Health Ontario"
"EPI_ISL_367131","B/Victoria","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_393615","B/Victoria","Centers for Disease Control and Prevention","NIC Lab CVD-MALI"
"EPI_ISL_363738","B/Victoria","National Institute of Infectious Diseases (NIID)","Saitama Institute of Public Health"
"EPI_ISL_353729","B/Victoria","Public Health Agency of Canada (PHAC)","Ontario Agency for Health Protection and Promotion (OAHPP)"
"EPI_ISL_354456","B/Victoria","WHO Collaborating Centre for Reference and Research on Influenza","Royal Darwin Hospital"
"EPI_ISL_391639","B/Victoria","The University of Hong Kong","The University of Hong Kong"
"EPI_ISL_365687","B/Victoria","Centers for Disease Control and Prevention","icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh"
"MN086310","B/Victoria","US Army Medical Research Directorate-Kenya (USAMRD-K), DEID Program on Human Respiratory Viruses",NA
"EPI_ISL_393877","B/Victoria","Crick Worldwide Influenza Centre","WHO National Influenza Centre"
"EPI_ISL_364639","B/Victoria","National Institute of Infectious Diseases (NIID)","Virus Research Center, Sendai Medical Center"
"EPI_ISL_367554","B/Victoria","Public Health Agency of Canada (PHAC)","B.C. Centre for Disease Control"
"EPI_ISL_407266","B/Victoria","WHO Collaborating Centre for Reference and Research on Influenza","Royal Darwin Hospital"
"EPI_ISL_391643","B/Victoria","The University of Hong Kong","The University of Hong Kong"
"EPI_ISL_362462","B/Victoria","Centers for Disease Control and Prevention","Institute of Epidemiology Disease Control and Research (IEDCR) & Bangladesh National Influenza Centre (NIC)"
"EPI_ISL_357981","B/Victoria","Centers for Disease Control and Prevention","Central Public Health Laboratory, Ministry of Health"
"EPI_ISL_387377","B/Victoria",NA,NA
"EPI_ISL_367070","B/Victoria","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_367555","B/Victoria","Public Health Agency of Canada (PHAC)","B.C. Centre for Disease Control"
"EPI_ISL_362046","B/Victoria","Hong Kong Department of Health","Hong Kong Department of Health"
"EPI_ISL_391717","B/Victoria","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_362465","B/Victoria","Centers for Disease Control and Prevention","Institute of Epidemiology Disease Control and Research (IEDCR) & Bangladesh National Influenza Centre (NIC)"
"EPI_ISL_386908","B/Victoria","Centers for Disease Control and Prevention","Ministry of Health Bahrain"
"EPI_ISL_362496","B/Victoria","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_390456","B/Victoria","Hellenic Pasteur Institute","Hellenic Pasteur Institute"
"EPI_ISL_368852","B/Victoria",NA,NA
"EPI_ISL_353544","B/Victoria","Centers for Disease Control and Prevention","Wisconsin State Laboratory of Hygiene"
"EPI_ISL_407261","B/Victoria","WHO Collaborating Centre for Reference and Research on Influenza","Royal Darwin Hospital"
"EPI_ISL_389503","B/Victoria","WHO Collaborating Centre for Reference and Research on Influenza","Laboratorio De Saude Publico"
"EPI_ISL_367068","B/Victoria","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_386885","B/Victoria","Centers for Disease Control and Prevention","WHO National Influenza Centre, National Institute of Medical Research (NIMR)"
"EPI_ISL_377575","B/Victoria","Centers for Disease Control and Prevention","icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh"
"EPI_ISL_377555","B/Victoria","Centers for Disease Control and Prevention","icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh"
"EPI_ISL_377608","B/Victoria","Centers for Disease Control and Prevention","Rafic Hariri University Hospital 4th floor DNA/Research Lab"
"EPI_ISL_363143","B/Victoria","Crick Worldwide Influenza Centre","INRSP-Institut National de Recherches en Sante Publique"
"EPI_ISL_390455","B/Victoria","Hellenic Pasteur Institute","Hellenic Pasteur Institute"
"EPI_ISL_389085","B/Victoria","National Institute of Infectious Diseases (NIID)","Saitama Institute of Public Health"
"EPI_ISL_356330","B/Victoria","Centers for Disease Control and Prevention","New York City Department of Health"
"EPI_ISL_364922","B/Victoria","WHO Collaborating Centre for Reference and Research on Influenza","Alfred Hospital"
"EPI_ISL_491486","B/Victoria","Centers for Disease Control and Prevention","Russian Academy of Medical Sciences"
"EPI_ISL_364666","B/Victoria","WHO National Influenza Centre Russian Federation","Research Institute of Influenza, Ministry of Healthcare of the Russian Federation"
"EPI_ISL_362050","B/Victoria","Hong Kong Department of Health","Hong Kong Department of Health"
"EPI_ISL_362049","B/Victoria","Hong Kong Department of Health","Hong Kong Department of Health"
"EPI_ISL_391708","B/Victoria","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_391713","B/Victoria","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_365725","B/Victoria","Centers for Disease Control and Prevention","icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh"
"EPI_ISL_377593","B/Victoria","Centers for Disease Control and Prevention","Ministry of Health Bahrain"
"MN086312","B/Victoria","US Army Medical Research Directorate-Kenya (USAMRD-K), DEID Program on Human Respiratory Viruses",NA
"EPI_ISL_357435","B/Victoria","Norwegian Institute of Public Health","Unilabs Telelab, Laboratory for Medical Microbiology"
"EPI_ISL_363746","B/Victoria","National Institute of Infectious Diseases (NIID)","Utsunomiya City Institute of Public Health and Environment Science"
"EPI_ISL_365735","B/Victoria","Centers for Disease Control and Prevention","National Microbiology Laboratory, Public Health Agency of Canada (PHAC)"
"EPI_ISL_364929","B/Victoria","WHO Collaborating Centre for Reference and Research on Influenza","National Centre for Scientific Services for Virology  and Vector Borne Diseases"
"EPI_ISL_367012","B/Victoria","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_389504","B/Victoria","WHO Collaborating Centre for Reference and Research on Influenza","Laboratorio De Saude Publico"
"EPI_ISL_391737","B/Victoria","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_389938","B/Victoria","Centers for Disease Control and Prevention","WHO National Influenza Centre, National Institute of Medical Research (NIMR)"
"EPI_ISL_365678","B/Victoria","Centers for Disease Control and Prevention","icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh"
"EPI_ISL_377584","B/Victoria","Centers for Disease Control and Prevention","icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh"
"EPI_ISL_389956","B/Victoria","Centers for Disease Control and Prevention","Shaikh Khalifa Medical City"
"EPI_ISL_389955","B/Victoria","Centers for Disease Control and Prevention","Shaikh Khalifa Medical City"
"EPI_ISL_362494","B/Victoria","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_357439","B/Victoria","Norwegian Institute of Public Health","Innlandet Hospital Trust, Division Lillehammer, Department for Microbiology"
"EPI_ISL_394170","B/Victoria","National Institute of Infectious Diseases (NIID)","Shiga Prefectural Institute of Public Health"
"MN154131","B/Victoria","United States Air Force, USAFSAM/PHE",NA
"EPI_ISL_363360","B/Victoria","Public Health Agency of Canada (PHAC)","Ontario Agency for Health Protection and Promotion (OAHPP)"
"EPI_ISL_355857","B/Victoria","Public Health Agency of Canada (PHAC)","Roy Romanow Provincial Laboratory"
"EPI_ISL_407295","B/Victoria","WHO Collaborating Centre for Reference and Research on Influenza","Canterbury Health Services"
"EPI_ISL_367861","B/Victoria","WHO Collaborating Centre for Reference and Research on Influenza","Queensland Health Forensic and Scientific Services"
"EPI_ISL_395232","B/Victoria","State Research Center of Virology and Biotechnology (VECTOR)","FBUZ ""Center of hyhiene and epidemiology"""
"EPI_ISL_367071","B/Victoria","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_367413","B/Victoria","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_391710","B/Victoria","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_398926","B/Victoria","Centers for Disease Control and Prevention","Institute of Epidemiology Disease Control and Research (IEDCR) & Bangladesh National Influenza Centre (NIC)"
"EPI_ISL_391318","B/Victoria","Centers for Disease Control and Prevention","National Institute of Virology"
"EPI_ISL_377611","B/Victoria","Centers for Disease Control and Prevention","Rafic Hariri University Hospital 4th floor DNA/Research Lab"
"EPI_ISL_362495","B/Victoria","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_357454","B/Victoria","Norwegian Institute of Public Health","Innlandet Hospital Trust, Division Lillehammer, Department for Microbiology"
"EPI_ISL_389092","B/Victoria","National Institute of Infectious Diseases (NIID)","Kanagawa Prefectural Institute of Public Health"
"EPI_ISL_389103","B/Victoria","National Institute of Infectious Diseases (NIID)","Oita Prefectural Institute of Health and Environment"
"EPI_ISL_367412","B/Victoria","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_364224","B/Victoria","Centers for Disease Control and Prevention","DC Public Health Lab"
"EPI_ISL_363564","B/Victoria","Public Health Agency of Canada (PHAC)","Hôpital Georges L. Dumont"
"EPI_ISL_367858","B/Victoria","WHO Collaborating Centre for Reference and Research on Influenza","Institute of Environmental Science and Research (ESR)"
"EPI_ISL_377379","B/Victoria","WHO Collaborating Centre for Reference and Research on Influenza","Monash Medical Centre"
"EPI_ISL_381934","B/Victoria","Hong Kong Department of Health","Hong Kong Department of Health"
"EPI_ISL_381918","B/Victoria","Hong Kong Department of Health","Hong Kong Department of Health"
"MT803434","B/Victoria","Chulalongkorn University, Department of Pediatrics, Center of Excellence in Clinical Virology",NA
"EPI_ISL_391723","B/Victoria","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_391325","B/Victoria","Centers for Disease Control and Prevention","National Institute of Virology"
"EPI_ISL_389969","B/Victoria","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_389970","B/Victoria","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_513951","B/Victoria","UK Health Security Agency - Colindale","UK Health Security Agency - Colindale"
"EPI_ISL_367686","B/Victoria","Instituto Nacional de Saude  (INSA)","Instituto Nacional de Saude (INSA)"
"EPI_ISL_370365","B/Victoria","National Institute of Infectious Diseases (NIID)","Tokyo Metropolitan Institute of Public Health"
"EPI_ISL_367088","B/Victoria","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_362526","B/Victoria","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_364209","B/Victoria","Centers for Disease Control and Prevention","Michigan Department of Community Health"
"EPI_ISL_377376","B/Victoria","WHO Collaborating Centre for Reference and Research on Influenza","Victorian Infectious Diseases Reference Laboratory"
"EPI_ISL_381921","B/Victoria","Hong Kong Department of Health","Hong Kong Department of Health"
"EPI_ISL_389993","B/Victoria","Centers for Disease Control and Prevention","ADImmune Corporation"
"MT803414","B/Victoria","Chulalongkorn University, Department of Pediatrics, Center of Excellence in Clinical Virology",NA
"EPI_ISL_391728","B/Victoria","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_368228","B/Victoria","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_368224","B/Victoria","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_363544","B/Victoria","Institut Pasteur","Institut Pasteur"
"EPI_ISL_364659","B/Victoria","National Institute of Infectious Diseases (NIID)","Yokohama City Institute of Public Health."
"EPI_ISL_364656","B/Victoria","National Institute of Infectious Diseases (NIID)","Wakayama Prefectural Research Center of Environment and Public Health"
"EPI_ISL_362527","B/Victoria","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_363700","B/Victoria","Public Health Agency of Canada (PHAC)","Provincial Laboratory for Public Health for Northern Alberta"
"EPI_ISL_377383","B/Victoria","WHO Collaborating Centre for Reference and Research on Influenza","Victorian Infectious Diseases Reference Laboratory"
"EPI_ISL_387016","B/Victoria","Crick Worldwide Influenza Centre","State Research Center of Virology and Biotechnology (VECTOR)"
"EPI_ISL_402337","B/Victoria","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_390439","B/Victoria","National Institute of Infectious Diseases (NIID)","Center for Disease Control"
"EPI_ISL_367077","B/Victoria","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
